id,area,Y,M,O,Total
07043,87038376.3876274,765,2267,2426,5458
07044,48638458.6629287,2056,9301,2265,13622
07045_AM,132078908.688323,719,3125,1819,5663
07046,126875093.845545,2333,11038,12234,25605
07047_AM,73182263.3379361,636,3338,1732,5706
07048,159241748.711081,1672,14198,11160,27030
07050,121681568.453888,858,3125,2456,6439
07051,82217248.5040304,1397,4970,2837,9204
07052,34669368.4397338,953,3688,2537,7178
07054,153797642.442128,4913,20911,11120,36944
07055,86662120.4238159,1065,5738,5735,12538
07056,37661531.2069103,1440,4396,2193,8029
07057,124745487.129606,3393,6994,1498,11885
07058_AM,227821175.581511,1045,3151,2250,6446
07059,38992184.7211914,606,2665,1993,5264
07060_AM,80649788.6501246,649,3199,3201,7049
07061,42821812.7933441,1578,7979,4962,14519
07062,42651453.4999252,2219,6812,3263,12294
07064,11640217.4337353,763,3312,3338,7413
07065_AM,117233026.106496,1301,3517,2401,7219
08001,20012498.9617959,1379,6454,4170,12003
08003,9546544.71637282,1020,5800,3202,10022
08005,14258836.8011993,512,3864,4496,8872
08006,6371301.62972714,1901,7113,6520,15534
08007,20993812.8630805,1538,5245,2460,9243
08009,25301312.233301,1006,8395,2983,12384
08010_AM,80774299.0066784,662,4888,2208,7758
08014_AM,92125119.5181633,822,2707,2087,5616
0801501,546956.137456818,1811,4210,2105,8126
0801502,753437.870167199,3971,9231,4615,17817
0801503,1132965.40041845,3809,8854,4427,17090
0801504,2002731.15562352,5951,13833,6916,26700
0801505,2073228.40076391,2510,5834,2917,11261
0801506,9265125.26113496,1717,4088,2042,7847
0801507,1353994.8096309,8691,20580,10366,39637
0801508,1477668.58163443,4251,10163,5138,19552
0801509,2539989.95513361,14026,35447,17766,67239
08016_AM,444644911.415005,689,2614,1884,5187
08017_AM,149712367.324511,981,3497,2168,6646
08018_AM,66320510.9586225,655,2328,1818,4801
0801901,4377581.52779448,7505,51385,38683,97573
0801902,7486049.69142985,19367,132595,99818,251780
0801903,23267892.5702362,13379,88726,72537,174642
0801904,6025905.32020118,6125,37918,32619,76662
0801905,19975122.4314111,12283,72723,55527,140533
0801906,4194379.68150421,8924,61097,45994,116015
0801907,11972908.1538089,12757,87338,65749,165844
0801908,8046232.46432478,13302,86601,63344,163247
0801909,6585299.07910614,16755,77906,50300,144961
0801910,10546587.1893282,24322,123617,79143,227082
08020,50420891.0365508,1334,4245,1592,7171
08022,22562539.4260374,1862,8734,5557,16153
08023,28842780.0129952,1113,6140,3399,10652
08029,9047581.92545101,671,2030,2063,4764
08030,6989195.79232623,975,5035,1873,7883
08031_AM,471120904.884436,1005,3917,2902,7824
08033,37641421.1686575,3502,12616,2094,18212
08035,7893382.08990501,4661,8404,5531,18596
08037_AM,16670631.8432319,497,2556,1622,4675
08040,6316812.23683887,2374,8082,4131,14587
08041,6793587.49270663,1562,9766,4492,15820
08043_AM,53029215.1822889,1963,5396,1722,9081
08044_AM,9416108.6459559,977,3935,1927,6839
08046,12145960.631007,3108,11108,3996,18212
08047_AM,168643817.847025,686,3017,1738,5441
08051_AM,86484839.7396272,3512,14389,9836,27737
08053_AM,53770006.6451146,528,3848,2939,7315
08054,31137424.1272218,994,7881,4337,13212
0805601,1026468.8765929,3473,10292,3989,17754
0805602,430983.58538055,2368,6966,2647,11981
0805603,2373201.5541093,1968,5868,2309,10145
0805604,4799016.7740327,2580,7589,2884,13053
0805605,4058897.52031719,2619,7705,2928,13252
08064_AM,263501412.8415,874,3467,2340,6681
08067,15369801.1102109,632,3750,2868,7250
08068_AM,29627673.545163,1938,6099,3970,12007
08069,18218644.404147,800,2369,1494,4663
08072,18325238.486468,1108,6030,8436,15574
0807301,1683078.91888478,2708,12676,5113,20497
0807302,2533717.45712823,774,3660,1512,5946
0807303,1432818.69329741,1800,8401,3353,13554
0807304,584533.217962461,2803,13166,5242,21211
0807305,185992.925359063,1305,6132,2441,9878
0807306,412837.138789447,1883,8844,3521,14248
08074,13322549.9692249,3329,8811,2889,15029
08075,40764170.0115427,897,2933,1907,5737
08076,27207701.6439889,3613,12616,6186,22415
08077,4507132.08581662,9150,19830,16039,45019
08085_AM,54079049.3567113,991,2783,1529,5303
08086,29446385.0171298,3870,10698,4969,19537
08088,19043205.8159699,3499,9858,3095,16452
08089,30895084.0783881,8466,24638,13005,46109
08091_AM,43050843.1411691,970,4572,3619,9161
08092_AM,152458052.196608,1172,4376,3337,8885
08094_AM,45489328.0768254,1093,3161,1097,5351
0809601,3079120.31153732,3377,7804,4201,15382
0809602,820592.436195135,2471,5459,2969,10899
0809603,1361043.18775591,3531,7835,4239,15605
0809604,9553848.61964434,3916,8802,4855,17573
08098_AM,54467669.4453129,1150,2619,1840,5609
08100_AM,122388004.807835,680,2739,1813,5232
0810101,2959121.79061191,4281,22912,22112,49305
0810102,987129.48783149,3620,23112,22834,49566
0810103,3640603.98160021,3091,19735,19497,42323
0810104,790782.727945532,3070,19601,19365,42036
0810105,930993.019949494,2807,17440,17189,37436
0810106,3141139.46720264,2241,14082,13535,29858
08102,8104533.54954021,9772,24376,4444,38592
08105,3063745.33249371,1476,6557,4954,12987
08106,27704590.2322129,1375,5227,3641,10243
08107,22514510.1653448,2905,8456,3889,15250
08108,10837000.2289203,742,2888,2957,6587
08110,8740343.09019588,3799,10753,4349,18901
08112,17163673.2917971,3489,10883,6145,20517
0811301_AD,19565206.1449388,1696,4757,4355,10808
0811302,5773991.56753357,3346,9455,8714,21515
0811304,4365226.33295169,3225,9279,8240,20744
0811305,11935666.9207223,3283,9264,8417,20964
08114,12832529.7838911,3430,13054,10087,26571
08115_AM,8124424.03702945,932,3663,1167,5762
08118,3405400.31744224,5053,13057,5145,23255
08119,17130673.3636066,965,5027,3417,9409
08120,25487866.9821812,925,4338,4378,9641
0812101,787096.932941314,2118,6697,3348,12163
0812102,6048409.64082207,3491,11030,5509,20030
0812103,9765965.49178243,4189,13333,6654,24176
0812104,1608445.02418405,2779,8877,4415,16071
0812105,1382052.11311459,5324,16831,8415,30570
0812106,2710315.89658446,3981,12576,6372,22929
08122_AM,79083918.8635415,1277,3508,1697,6482
08123,15790201.1056885,3550,16495,5285,25330
0812401,1608011.41858998,2260,6886,2558,11704
0812402,2951533.0635857,2859,8670,2889,14418
0812403,6328730.20776758,4839,14110,4889,23838
08125,23514686.5443696,5375,20831,9199,35405
08126,2913003.83773484,1546,5755,4192,11493
08135,4129882.07819922,1272,3765,2992,8029
08136,10319064.812662,1218,8553,6570,16341
08138,75928805.4771781,1648,3465,1313,6426
08140,5510424.13092229,786,2587,2729,6102
08141,80933280.3597013,929,3517,1740,6186
08143_AM,204312885.826142,920,3245,2598,6763
08145_AM,77242626.520365,1595,3563,1189,6347
08147,16689297.9226534,3563,11658,9047,24268
08155_AM,29146648.0644934,1905,6805,5236,13946
08156,14980398.8288619,1092,6637,7110,14839
08157,8515109.70791785,1701,5846,4563,12110
08158,8760658.51345325,557,1979,1369,3905
08159,8830504.01378751,4318,9263,4711,18292
08161,57160056.5107976,2690,9794,4788,17272
08162_AM,81005786.3761306,1042,2985,1857,5884
08163,10475954.5376886,4809,11856,10770,27435
08167,8799661.18760769,1085,3968,3522,8575
0816901,2176034.39703402,764,3683,3978,8425
0816902,686628.439133466,1095,5269,6159,12523
0816903,5173511.59027191,1779,8540,9972,20291
0816904,10071518.8307982,583,2796,3263,6642
0816905,13427420.917824,1241,5975,6984,14200
08171_AM,208702760.922473,859,2929,1825,5613
08172,1976705.37675339,3420,16848,7768,28036
08175_AM,229305698.240348,1060,3440,1581,6081
08180,4334949.16911268,4975,23627,9289,37891
08181,37003032.8725337,2415,5998,2630,11043
08182,27646389.3464875,852,2149,849,3850
08183,2223687.04651764,1270,3901,1199,6370
0818401,8250351.45366402,1249,3125,2161,6535
0818402,17351514.2976289,1974,5043,3468,10485
0818403,1612064.21808189,2783,7166,5019,14968
0818404,5032736.01129344,7941,20541,14289,42771
0818701,4073223.18389764,9459,27232,16339,53030
0818702,7691341.53485859,4286,12438,7554,24278
0818703,7104751.1050159,6043,17593,10831,34467
0818704,3821806.89198822,6776,19621,11888,38285
0818705,4374195.40727266,3383,10200,6181,19764
0818706,3857131.33957686,3076,12942,13128,29146
0818707,6620311.88288943,1524,4582,2979,9085
08191,65743211.7295946,1494,4121,1007,6622
08192,16935169.1310003,579,3378,3556,7513
08194,3783899.34010479,5487,20704,10157,36348
08196,5589110.74952818,1862,12451,12180,26493
08197,11886262.7646543,2006,6234,2971,11211
08198,13940056.4907129,994,2833,2550,6377
0820001,1499101.27558448,1243,4186,4050,9479
0820002,4148395.16272233,3617,13682,14289,31588
0820003,1126656.1850987,1558,6233,6700,14491
0820004,11582532.9541208,1692,6883,7124,15699
0820005,1730981.60461519,529,2118,2277,4924
0820006,1421062.18793301,586,2345,2521,5452
08202,65585957.9752039,2652,9135,5485,17272
08203_AM,61259529.6308521,1425,5112,2916,9453
08204,10867114.7073926,721,2369,991,4081
0820501,21834324.0560717,4647,19343,15691,39681
0820502,3711357.91484262,2363,9774,7948,20085
0820503,9429881.39372084,923,3687,2922,7532
0820504_AD,8466510.0156614,684,2848,2313,5845
0820505,4878211.17143733,1739,7193,5849,14781
08208_AM,38212816.23595,1864,5443,3590,10897
08209,13192108.1187274,1221,5135,2512,8868
08210,15045863.3270391,628,2940,2960,6528
08211,11885889.4010608,6111,18581,19285,43977
08213,21930280.4179208,1326,4409,2910,8645
08214,8930636.21279268,1291,4578,3079,8948
08215_AM,23096122.9438915,1037,3358,2194,6589
08217,6176396.71235258,6189,17947,9206,33342
08218_AM,80825966.7499981,2060,7499,5074,14633
08219,3945078.26903927,3729,12310,4532,20571
08220_AM,23152570.5204042,1101,2691,1744,5536
08221,7714768.8454464,1904,9355,5935,17194
08227_AM,64084524.6409302,617,2538,1812,4967
08230,6557161.28284366,2077,6405,2415,10897
08231,40877637.1958102,7581,17601,5175,30357
08232_AM,38536635.7340947,1195,2998,987,5180
08233_AM,321846164.975586,983,3594,2140,6717
08234_AM,74138404.4276889,1592,5957,3187,10736
08235,7584963.87188082,734,2711,1915,5360
08237_AM,71325314.2216043,864,2843,1828,5535
08238,14503526.2476382,1784,10681,7160,19625
08240,18996479.7175191,1436,7226,4873,13535
08244,7520317.82157377,1275,3615,3140,8030
0824501,459286.135731981,3250,11431,6500,21181
0824502,568595.114579082,2287,8001,4543,14831
0824503,4374859.39260839,3013,10598,6020,19631
0824504,574481.542274738,3243,11409,6487,21139
0824505,842987.879028006,3601,12682,7194,23477
0824506,275400.147202551,2475,8708,4951,16134
08248,14171583.6160718,474,3528,3801,7803
08250,27705199.0372913,1453,4821,3247,9521
08251,17505183.6258822,998,4031,2270,7299
08252,8220628.91546926,6213,16578,9962,32753
08259,16875708.1458908,1725,5900,1863,9488
08260,15599429.0622776,3260,14010,8192,25462
08262_AM,35234150.2172456,1496,5687,3199,10382
08263,9135122.39533289,5888,17300,5239,28427
08264_AM,8634648.86089772,2161,5624,2140,9925
08266,30917964.5458134,6487,27188,22363,56038
08267,28292738.6861513,988,4535,3775,9298
08268_AM,412645833.003127,712,2443,1408,4563
08269_AM,169145819.909949,1855,4158,1620,7633
08270,43819598.7232767,8368,17317,3524,29209
08273_AM,86777986.3719914,1043,3802,1313,6158
08274,23748585.7972943,637,2588,2550,5775
08278_AM,37678001.9247272,922,3598,1992,6512
0827901,2252082.67220337,1463,14452,19208,35123
0827902,3918228.82291987,1033,8878,11402,21313
0827903_AD,12554456.4649946,1744,14483,17020,33247
0827904,9738378.29243219,2086,17243,20161,39490
0827905,30909769.0259863,2074,18967,24672,45713
0827906,10833326.6507798,2093,17059,21761,40913
08281,6650694.33816093,1404,2866,2351,6621
08282,7913569.94464425,1054,4653,3149,8856
08283,16425361.7592526,1588,4210,2091,7889
08284_AM,116923897.490236,4492,11332,3491,19315
08285,13527139.171935,1346,7047,5998,14391
08286_AM,33476855.7876063,896,3164,2031,6091
08288_AM,141828056.146171,793,2713,1547,5053
08289,13619422.856261,1105,3498,1680,6283
08291,40480269.8116063,1460,4536,1949,7945
08295,23834972.7782556,2494,8058,4892,15444
08298,30796356.7770103,6195,22880,12847,41922
08300_AM,27398261.154812,895,5153,3126,9174
0830101,14527036.6618388,2270,11427,10886,24583
0830102,5619683.37256271,3839,19181,18348,41368
08302,10493805.4133445,1305,5771,4976,12052
08305,19915590.8139455,4022,21189,13490,38701
0830701,2077044.55306445,2399,10919,4692,18010
0830702,4170218.69053578,1920,8704,3724,14348
0830703,10548719.7727668,1074,4885,2127,8086
0830704,17127100.0760144,3505,16019,6860,26384
08902_AM,31627689.1132368,1021,5669,3413,10103
08904,885440.052768739,902,5350,6962,13214
09018,127364767.479862,6908,16547,9006,32461
09048_AM,837097476.619518,805,2655,1897,5357
09056,81250355.3772222,666,3475,1654,5795
0905901_AD,921837.272432474,1162,4649,3174,8985
